Sno,Country,City,Company,LINKDLN LINK,Website,Tech Need / Problem,EMAIL,CONTACT,Google Maps,Clean_Category,Review
79,India,Jaipur,Radhe Krishna Enterprises,N/A,N/A,N/A,N/A,8955172590,Radhe Krishna Enterprises,Manufacturer,5
80,India,Jaipur,VK Enterprises,N/A,N/A,N/A,N/A,9414442175,VK Enterprises,Services,5
81,India,Jaipur,R. D. Enterprises,N/A,N/A,N/A,N/A,9928220147,R. D. Enterprises,Services,5
82,India,Jaipur,Ashish Enterprises,N/A,N/A,N/A,N/A,8952820355,Ashish Enterprises,Store,5
83,India,Jaipur,Sagar Enterprises,N/A,N/A,N/A,N/A,1412316006,Sagar Enterprises,Grocery Store,3.5
84,India,Jaipur,karma enterprises,N/A,N/A,N/A,N/A,9314874986,karma enterprises,Textile mill,5
85,India,Jaipur,Shreeji Enterprises,N/A,N/A,N/A,N/A,1412571815,Shreeji Enterprises,Plastic Products Supplier,
86,India,Jaipur,Gita Enterprises,N/A,N/A,N/A,N/A,1412601927,Gita Enterprises,Store,2.6
87,India,Jaipur,GAURI SHANKAR ENTERPRISES,N/A,N/A,N/A,N/A,8955531126,GAURI SHANKAR ENTERPRISES,FMCG Goods Real Estate,5
88,India,Jaipur,Agarwal Enterprises,N/A,N/A,N/A,N/A,8559959313,Agarwal Enterprises,Grocery store,5
89,India,Jaipur,Ratan Hind Enterprises,N/A,N/A,N/A,N/A,7733978661,Ratan Hind Enterprises,store,5
90,India,Jaipur,"Universal Enterprises , Manufacturers Hospitalss Garments hospital rarmennts",N/A,N/A,N/A,N/A,9667189667,"Universal Enterprises , Manufacturers Hospitalss Garments hospital rarmennts",Hospital,5
91,India,Jaipur,Uma Enterprises,N/A,N/A,N/A,N/A,8094655521,Uma Enterprises,Real Estate,
92,India,Jaipur,Rishi Raj Enterprises,N/A,N/A,N/A,N/A,9314289693,Rishi Raj Enterprises,Hardware Store,3.7
93,India,Jaipur,Bagda Enterprises,N/A,N/A,N/A,N/A,7877299851,Bagda Enterprises,Business related,5
94,India,Jaipur,Anmol Enterprises,N/A,N/A,N/A,N/A,1414018018,Anmol Enterprises,Furniture,1
95,India,Jaipur,Aditya Enterprises,N/A,N/A,N/A,N/A,9772274555,Aditya Enterprises,Housing utility company,
96,India,Jaipur,Ankit paints,N/A,N/A,N/A,N/A,1412318203,Ankit paints,Store,
97,India,Jaipur,Vishnu enterprises new collection,N/A,N/A,N/A,N/A,9829586254,Vishnu enterprises new collection,Real Estate,
98,India,Jaipur,Rohit Enterprises,N/A,N/A,N/A,N/A,8426968639,Rohit Enterprises,Juice shop,
99,India,Jaipur,Sambhav enterprises,N/A,N/A,N/A,N/A,9928897841,Sambhav enterprises,Hardware Store,
100,India,Jaipur,Gopal Lal Dinesh Kumar,N/A,N/A,N/A,N/A,9929043722,Gopal Lal Dinesh Kumar,store,
101,India,Jaipur,Prabhu Dayal & Sons,N/A,N/A,N/A,N/A,9413694909,Prabhu Dayal & Sons,Hardware Store,
102,India,Jaipur,Prabhudayal & Sons,N/A,N/A,N/A,N/A,9314020421,Prabhudayal & Sons,Grocery Store,
103,India,Jaipur,Khandelwal Enterprises,N/A,N/A,N/A,N/A,8233313119,Khandelwal Enterprises,Grocery Store,
104,India,Jaipur,Gopal Lal Dinesh Kumar,N/A,N/A,N/A,N/A,9929043722,Gopal Lal Dinesh Kumar,store,
105,India,Jaipur,Goyal Industries - Pattal Dona Raw Material - Silver Paper Plate Raw Material - Paper Plate Raw Material - Dona Pattal Die,N/A,N/A,N/A,N/A,8048622704,Goyal Industries - Pattal Dona Raw Material - Silver Paper Plate Raw Material - Paper Plate Raw Material - Dona Pattal Die,Paper store,
106,India,Jaipur,Sethi MedicalAnd Grocery Store,N/A,N/A,N/A,N/A,9928077197,Sethi MedicalAnd Grocery Store,Clinic,
107,India,Jaipur,Mahi's Stationers,N/A,N/A,N/A,N/A,7230089755,Mahi's Stationers,Stationery store,
108,India,Jaipur,V K Enterprises Wholesale Stationery,N/A,N/A,N/A,N/A,9829085534,V K Enterprises Wholesale Stationery,Stationery store,
109,India,Jaipur,Sanmati Stationers,N/A,N/A,N/A,N/A,9828047171,Sanmati Stationers,Stationery store,
110,India,Jaipur,Shri Govind Stationery,N/A,N/A,N/A,N/A,9928860881,Shri Govind Stationery,Real Estate,
111,India,Jaipur,Aayra Stationery and accessories,N/A,N/A,N/A,N/A,7597462989,Aayra Stationery and accessories,Stationery store,
112,India,Jaipur,Taj Paints & Hardware,N/A,N/A,N/A,N/A,9828099202,Taj Paints & Hardware,Store,
113,India,Jaipur,Sonkhia Brothers,N/A,N/A,N/A,N/A,1412314482,Sonkhia Brothers,Fastener supplier,
